|id|name|address_name|address_comment|lat|lon|rubrics
28965|70000001071496107|SmileRoom, студия белоснежной улыбки|Ефимова, 1/4|8 комната; 4 этаж|59.926263|30.319478|['Частные стоматологии']
28967|70000001068499491|UnionSmiles, стоматология|Парфёновская, 14 к1 ст1|2 этаж|59.900924|30.312442|['Частные стоматологии']
28968|70000001067313105|Марка, стоматологическая клиника|улица Типанова, 18|Нет|59.851969|30.335365|['Частные стоматологии']
28970|70000001068035712|Gee, клиника|Днепропетровская улица, 65|1 этаж|59.910311|30.35607|['Частные стоматологии', 'Услуги косметолога', 'Эпиляция', 'Услуги массажиста']
28971|70000001067011463|Topstom, стоматологическая клиника|проспект Маршала Блюхера, 7 к2|1 этаж|59.979566|30.372665|['Частные стоматологии']
28972|70000001068984674|Symmetrica, стоматологическая клиника|Московский проспект, 183-185 лит А|1 этаж|59.857272|30.317201|['Частные стоматологии']
28973|70000001061777496|Friendly dental studio, стоматологическая клиника|Малая Митрофаньевская, 5 к1 ст1|1 этаж|59.896674|30.307344|['Частные стоматологии']
28975|70000001065491589|Galaktika Dent, стоматология|Малая Митрофаньевская, 5 к1|2 этаж|59.897656|30.307677|['Частные стоматологии']
28976|70000001064328077|Dent Deco|Дальневосточный проспект, 12 к2|2 этаж|59.91362|30.438233|['Частные детские стоматологии', 'Частные стоматологии']
28977|70000001064033775|MY ORT, клиника функциональной стоматологии, ортодонтии и гнатологии|проспект Медиков, 10 к1|1 этаж|59.974682|30.316447|['Частные стоматологии']
28978|70000001064033491|Протекомед, стоматологическая клиника|Парфёновская, 14 к1|2 этаж|59.900656|30.312649|['Частные стоматологии']
28979|70000001061818824|Моя стоматология, стоматологическая клиника|улица Дыбенко, 5 к1|1 этаж|59.899026|30.451255|['Частные детские стоматологии', 'Частные стоматологии']
28980|70000001063732460|InnaDent, стоматология|Конторская, 20|1 этаж|59.946714|30.413816|['Частные стоматологии']
28981|70000001061599544|Идеал, мастерская безупречной улыбки|Кременчугская улица, 9 к1|1 этаж|59.923319|30.37114|['Частные детские стоматологии', 'Частные стоматологии']
28983|70000001061023426|Stommax, стоматологическая клиника|Пискарёвский проспект, 1|1 этаж|59.957539|30.408089|['Частные стоматологии']
28984|70000001060450363|Диадент, стоматологическая клиника|проспект Энгельса, 124 к1|2 этаж|60.04055|30.324679|['Частные стоматологии', 'Услуги челюстно-лицевого хирурга']
28985|70000001060386256|Nk-stom, стоматология|проспект Авиаконструкторов, 2|1 этаж|60.009245|30.246799|['Частные стоматологии']
28986|70000001060097068|Студия улыбок плюс|Фермское шоссе, 20 к2|1 этаж|60.014802|30.310966|['Частные стоматологии']
28988|70000001061525737|Стоматология|Старо-Петергофский проспект, 31 лит П|1 этаж|59.905474|30.276449|['Частные стоматологии']
28990|70000001060272320|СК-Клиника, медицинский центр|Тобольская, 1|8Н помещение; 1 этаж|59.972298|30.341074|['Частные стоматологии', 'Услуги гинеколога', 'Услуги эндокринолога', 'Услуги медицинской диагностики', 'Медицинские анализы']
28992|70000001065251217|Clinic+, стоматологическая клиника|10-я линия В.О., 21|3 этаж|59.940882|30.274773|['Частные стоматологии']
28993|70000001063817027|Espo, стоматологическая клиника|Заставская, 46 к1|1 этаж|59.887722|30.312956|['Частные стоматологии']
28994|70000001059673214|РиоСтома, стоматологический центр|Лиговский проспект, 271|51Н помещение; 1 этаж|59.905871|30.339829|['Частные стоматологии']
28995|70000001057613530|Медицинский центр на Комендантском|Комендантский проспект, 58 к1 ст1|2 этаж|60.033883|30.227522|['Частные стоматологии', 'Многопрофильные медицинские центры', 'Услуги медицинской диагностики', 'Медицинские анализы', 'Услуги ЛОРа (отоларинголога)', 'Услуги гастроэнтеролога', 'Услуги ведения беременности', 'Услуги гинеколога', 'Услуги дерматолога', 'Услуги кардиолога', 'Услуги онколога', 'Услуги офтальмолога', 'Услуги проктолога', 'Услуги терапевта', 'Услуги уролога', 'Услуги эндокринолога', 'Услуги хирурга', 'Услуги остеопата', 'Услуги косметолога', 'Эпиляция', 'Услуги детских врачей', 'Услуги массажиста', 'Услуги невролога', 'Услуги процедурного кабинета', 'Услуги мануального терапевта']
28996|5348552838507370|32 Белых, центр имплантации и протезирования|Промышленная улица, 5 лит А|1 этаж|59.899059|30.271171|['Частные стоматологии']
28997|5348552838505736|32pro, стоматологическая клиника|проспект Энгельса, 34|2 этаж|60.008554|30.32521|['Частные стоматологии']
28998|70000001024749210|33-й зуб, стоматологическая клиника|Краснопутиловская улица, 113 к1|1 этаж|59.848306|30.308229|['Частные стоматологии']
28999|5348552838772037|33-й зуб, стоматологическая клиника|улица Бутлерова, 40|1 этаж|60.010937|30.404873|['Частные стоматологии']
29000|5348552838503510|33-й зуб, стоматологическая клиника|улица Савушкина, 125 к1|1 этаж|59.986956|30.221024|['Частные стоматологии']
29001|5348552838503509|33-й зуб, стоматологическая клиника|проспект Маршала Жукова, 33 к1|1 этаж|59.857197|30.227811|['Частные стоматологии']
29002|5348552838503508|33-й зуб, стоматологическая клиника|улица Ильюшина, 1 к1|1 этаж|60.007708|30.256671|['Частные стоматологии']
29003|5348552838503507|33-й зуб, стоматологическая клиника|проспект Испытателей, 6 к1|1 этаж|60.003145|30.293797|['Частные стоматологии', 'Услуги челюстно-лицевого хирурга']
29004|5348552838503506|33-й зуб, стоматологическая клиника|Боткинская улица, 1 лит Б|1 этаж|59.958226|30.355567|['Частные стоматологии']
29007|70000001030614218|Adeptica, стоматология|Аптекарская набережная, 8|1 этаж|59.973921|30.326589|['Частные стоматологии']
29009|70000001052599423|Ag-Clinic, стоматологическая клиника|Малый проспект В.О., 52 ст1|1 этаж|59.942121|30.259644|['Частные стоматологии']
